url,marque,id_variante,designation,descriptif,code_article,reference,sku,prix_promo_unit,prix_ref_unit,prom_qty,prom_prc
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-acteon-manche-leger-n-76/878-1430?promocode=0&FullPageMode=true,PRODONT-HOLLIGER,878-1430,Elévateur ACTEON - Manche léger n°76,De formes concaves et ac&eacute;r&eacute;es. Pour extraire des petits morceaux de racinesau niveau apical.,15676,878-1430,878-1430, ,81.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-luxateur-hu-friedy-droit-5mm-el5s/882-0275?promocode=5&FullPageMode=true,HU-FRIEDY,882-0275,Elevateur Luxateur HU-FRIEDY - Droit - 5mm - EL5S,Luxateur droit de 5 mm de large.,EL5S,882-0275,882-0275, ,113.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-luxateur-hu-friedy-droit-3mm-el3s/902-0593?promocode=3&FullPageMode=true,HU-FRIEDY,902-0593,Elevateur Luxateur HU-FRIEDY - Droit - 3mm - EL3S,Luxateur droit de 3 mm de large.,EL3S,902-0593,902-0593, ,113.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-luxateur-hu-friedy-courbe-5mm-el5c/882-0255?promocode=5&FullPageMode=true,HU-FRIEDY,882-0255,Elevateur Luxateur HU-FRIEDY - Courbe - 5mm - EL5C,Luxateur incurv&eacute; de 5 mm de large.M&ecirc;me forme que l'&eacute;l&eacute;vateur de Pont.,EL5C,882-0255,882-0255, ,113.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-luxateur-hu-friedy-courbe-3mm-el3c/902-0410?promocode=0&FullPageMode=true,HU-FRIEDY,902-0410,Elevateur Luxateur HU-FRIEDY - Courbe - 3mm - EL3C,Luxateur incurv&eacute; de 3 mm de large.M&ecirc;me forme que l'&eacute;l&eacute;vateur de Pont.,EL3C,902-0410,902-0410, ,113.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-baionnette-roy-inverse-hu-friedy-esa9/901-5954?promocode=4&FullPageMode=true,HU-FRIEDY,901-5954,Elevateur Baionnette Roy Inversé HU-FRIEDY - ESA9,&Eacute;l&eacute;vateur de Roy invers&eacute; pour les dents de sagesse du haut.,ESA9,901-5954,901-5954, ,147.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/instrumentation/elevateurs-luxateurs/elevateur-baionnette-roy-hu-friedy-esa8/873-4142?promocode=2&FullPageMode=true,HU-FRIEDY,873-4142,Elevateur Baionnette Roy HU-FRIEDY - ESA8,&Eacute;l&eacute;vateur ba&iuml;onnette de Roy pour les dents de sagesse du bas.,ESA8,873-4142,873-4142, ,147.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/ciseaux-henry-schein-courbes/900-2471?promocode=1&FullPageMode=true,HENRY SCHEIN,900-2471,Ciseaux HENRY SCHEIN - Courbés,Ciseaux courb&eacute;s. ,H4155,900-2471,900-2471, ,11.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/cenit-l-dreve-le-coffret/886-3264?promocode=4&FullPageMode=true,DREVE,886-3264,Cenit L DREVE - Le coffret,R&eacute;sine de blocage photopolym&eacute;risable. Polym&eacute;risation de couches jusqu'&agrave; 2 mm possible avec des rayons de lumi&egrave;re d'une longueur d'ondes de 300-500 nm.Couche d'inhibition &agrave; la surface consid&eacute;rablement r&eacute;duite pour &eacute;viter que le produit d&eacute;teigne (ex: plaques de thermoformage). Couleur: bleu clair.,D3815,886-3264,886-3264, ,119, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-xtreme-scheu-dental-le-kit-rouge/891-9543?promocode=3&FullPageMode=true,SCHEU DENTAL,891-9543,Bioplast Xtreme SCHEU-DENTAL - Le kit rouge,Plaques pour prot&egrave;ge-dentsavec renfort int&eacute;gr&eacute;sur le bloc ant&eacute;rieur.Composition du kit : 1 plaque Bioplast Xtreme + 1 sachet Cetron poudrede nettoyage + 1 bo&icirc;te de rangement pour les appareils de contention+ 1 Bioplast agent d'isolant,32831,891-9543,891-9543, ,19.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-rondes-rouge-la-boite-de-10-diam-125-mm-ep-3-mm/879-8383?promocode=3&FullPageMode=true,SCHEU DENTAL,879-8383,Bioplast SCHEU-DENTAL - Rondes - Rouge La boîte de 10 - diam. 125 mm - ép. 3 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,33551,879-8383,879-8383, ,44.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-rondes-clair-la-boite-de-100-ep-1-5-mm-diam-125-mm/879-8387?promocode=7&FullPageMode=true,SCHEU DENTAL,879-8387,Bioplast SCHEU-DENTAL - Rondes - Clair - La boîte de 100 - ép. 1/5 mm - diam. 125 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31832,879-8387,879-8387, ,256.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-rondes-clair-la-boite-de-100-diam-125-mm-ep-3-mm/879-8388?promocode=8&FullPageMode=true,SCHEU DENTAL,879-8388,Bioplast SCHEU-DENTAL - Rondes - Clair - La boîte de 100 - diam. 125 mm - ép. 3 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31872,879-8388,879-8388, ,370.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-rondes-clair-la-boite-de-100-diam-125-mm-ep-2-mm/878-7983?promocode=3&FullPageMode=true,SCHEU DENTAL,878-7983,Bioplast SCHEU-DENTAL - Rondes - Clair - La boîte de 100 - diam. 125 mm - ép. 2 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31852,878-7983,878-7983, ,315.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-rondes-clair-la-boite-de-10-diam-125-mm-ep-5-mm/892-3613?promocode=3&FullPageMode=true,SCHEU DENTAL,892-3613,Bioplast SCHEU-DENTAL - Rondes - Clair - La boîte de 10 - diam. 125 mm - ép. 5 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,33741,892-3613,892-3613, ,70.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-rondes-clair-la-boite-de-10-diam-125-mm-ep-4-mm/879-8385?promocode=5&FullPageMode=true,SCHEU DENTAL,879-8385,Bioplast SCHEU-DENTAL - Rondes - Clair - La boîte de 10 - diam. 125 mm - ép. 4 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31881,879-8385,879-8385, ,58.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-rondes-clair-la-boite-de-10-diam-125-mm-ep-3-mm/878-7982?promocode=2&FullPageMode=true,SCHEU DENTAL,878-7982,Bioplast SCHEU-DENTAL - Rondes - Clair - La boîte de 10 - diam. 125 mm - ép. 3 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31871,878-7982,878-7982, ,44.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-rondes-clair-la-boite-de-10-diam-125-mm-ep-2-mm/878-7980?promocode=0&FullPageMode=true,SCHEU DENTAL,878-7980,Bioplast SCHEU-DENTAL - Rondes - Clair - La boîte de 10 - diam. 125 mm - ép. 2 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31851,878-7980,878-7980, ,39.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-rondes-clair-la-boite-de-10-diam-125-mm-ep-1-5-mm/878-7978?promocode=8&FullPageMode=true,SCHEU DENTAL,878-7978,Bioplast SCHEU-DENTAL - Rondes - Clair - La boîte de 10 - diam. 125 mm - ép. 1/5 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31831,878-7978,878-7978, ,28.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-rondes-clair-la-boite-de-10-diam-125-mm-ep-1-mm/886-6386?promocode=6&FullPageMode=true,SCHEU DENTAL,886-6386,Bioplast SCHEU-DENTAL - Rondes - Clair - La boîte de 10 - diam. 125 mm - ép. 1 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,32701,886-6386,886-6386, ,26.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-carrees-clair-la-boite-de-10-125-x-125-mm-ep-3-mm/878-7981?promocode=1&FullPageMode=true,SCHEU DENTAL,878-7981,Bioplast SCHEU-DENTAL - Carrées - Clair - La boîte de 10 - 125 x 125 mm - ép. 3 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31861,878-7981,878-7981, ,44.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-carrees-clair-la-boite-de-10-125-x-125-mm-ep-2-mm/878-7979?promocode=9&FullPageMode=true,SCHEU DENTAL,878-7979,Bioplast SCHEU-DENTAL - Carrées - Clair - La boîte de 10 - 125 x 125 mm - ép. 2 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31841,878-7979,878-7979, ,39.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-scheu-dental-carrees-clair-la-boite-de-10-125-x-125-mm-ep-1-5-mm/878-7977?promocode=7&FullPageMode=true,SCHEU DENTAL,878-7977,Bioplast SCHEU-DENTAL - Carrées - Clair - La boîte de 10 - 125 x 125 mm - ép. 1/5 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31821,878-7977,878-7977, ,30.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-bleach-scheu-dental-rondes-la-boite-de-100-diam-125-mm-ep-1-mm/892-3612?promocode=2&FullPageMode=true,SCHEU DENTAL,892-3612,Bioplast Bleach SCHEU-DENTAL - Rondes - La boîte de 100 - diam. 125 mm - ép. 1 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31902,892-3612,892-3612, ,213.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/laboratoire/thermoformage/bioplast-bleach-scheu-dental-rondes-la-boite-de-10-diam-125-mm-ep-1-mm/892-3611?promocode=1&FullPageMode=true,SCHEU DENTAL,892-3611,Bioplast Bleach SCHEU-DENTAL - Rondes - La boîte de 10 - diam. 125 mm - ép. 1 mm,Plaques molles &eacute;lastiques/ silicon&eacute;es/ ne s&rsquo;unissant pas &agrave; la r&eacute;sine auto. Application : r&eacute;alisation des duplicatas/ des prot&egrave;ges dents/ des goutti&egrave;res pour bruxomanes/ blanchiments et des positionneurs.,31901,892-3611,892-3611, ,25.99, , 
https://www.henryschein.fr/fr-fr/corporate/p/materiaux-a-empreintes/silicones-par-condensation/xantopren-kulzer-h-vert-tube-de-140ml/861-6725?promocode=5&FullPageMode=true,HERAEUS KULZER,861-6725,Xantopren KULZER- H Vert - Tube de 140ml,Silicone par condensation. Moyenne viscosit&eacute;.,65615785,861-6725,861-6725, ,44.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/materiaux-a-empreintes/silicones-par-condensation/xantopren-kulzer-vl-plus-tube-de-140ml/861-7736?promocode=6&FullPageMode=true,KULZER,861-7736,Xantopren KULZER - VL Plus - Tube de 140ml,Silicone par condensation. Tr&egrave;s basse viscosit&eacute; (tr&egrave;s fluide).,65871455,861-7736,861-7736, ,44.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/materiaux-a-empreintes/silicones-par-condensation/xantopren-kulzer-l-bleu-tube-de-140ml/861-6184?promocode=4&FullPageMode=true,KULZER,861-6184,Xantopren KULZER - L Bleu - Tube de 140ml, C-Silicone r&eacute;ticul&eacute; par condensation Xantopren L Blue. Silicones par condensation. La gamme Optosil/Xantopren permet une reproduction pr&eacute;cise et est disponible en trois versions diff&eacute;rentes pour r&eacute;pondre aux diff&eacute;rentes demandes des professionnels. Xantopren L blue est un silicone &agrave; condensation &agrave; faible viscosit&eacute; (L = low viscosity) pour les techniques de double empreinte/ double m&eacute;lange et sandwich.       Caract&eacute;ristiques du Xantopren L Blue :  - Excellente thixotropie qui emp&ecirc;che le d&eacute;bordement. - Reproduction parfaite des d&eacute;tails. - Consistance fluide. - Technique de double m&eacute;lange (avec Optosil Comfort ou P plus). - Impression sandwich (avec Optosil Comfort). - Technique de double m&eacute;lange (avec Xanthoprene H). - Temps de m&eacute;lange : 30 seg. - Dur&eacute;e maximale de fonctionnement : 1.30 min. - Temps minimum en bouche : 4 min. - Contenu : 1 tube de 140 ml. ,65871358,861-6184,861-6184, ,44.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/materiaux-a-empreintes/silicones-par-condensation/xantopren-function-kulzer-duo-combipack-coffret/861-2222?promocode=2&FullPageMode=true,HERAEUS KULZER,861-2222,Xantopren Function KULZER - Duo-CombiPack - Coffret,Xantopren Function a une consistance sp&eacute;cifique pour repoduire les joints p&eacute;riph&eacute;riques lors des prises d'empreintes de maxillaires &eacute;dent&eacute;s : Adaptation individuelle du temps de travail / Consistance sp&eacute;cifique permettant l'enregistrement int&eacute;gral du moindre mouvement musculaire. Couleur Jaune clair.Bo&icirc;te Xantopren Function Duo-Activator (1 flacon 7ml activateur N&deg;1 (rouge/ activateur) + 1 flacon 7 ml activateur n&deg;2 (jaune/ retardeur),66037442,861-2222,861-2222, ,207.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/materiaux-a-empreintes/silicones-par-condensation/xantopren-function-kulzer-duo-activator-coffret/861-5665?promocode=5&FullPageMode=true,HERAEUS KULZER,861-5665,Xantopren Function KULZER - Duo-Activator - Coffret,Xantopren Function a une consistance sp&eacute;cifique pour repoduire les joints p&eacute;riph&eacute;riques lors des prises d'empreintes de maxillaires &eacute;dent&eacute;s : Adaptation individuelle du temps de travail / Consistance sp&eacute;cifique permettant l'enregistrement int&eacute;gral du moindre mouvement musculaire. Couleur Jaune clair.Coffret Xantopren Function Combi-Pack (1 portion Xantopren Function 450 ml + 1 duo-activateur 2 x 7 ml+ 1 spatule de dosage + 1 bloc de m&eacute;lange),66037441,861-5665,861-5665, ,47.49, , 
https://www.henryschein.fr/fr-fr/corporate/p/materiaux-a-empreintes/silicones-par-condensation/speedex-coltene-medium-tube-de-140ml/882-7358?promocode=8&FullPageMode=true,COLTENE,882-7358,Speedex/ COLTENE - Medium - Tube de 140ml,silicone par condensation.Indications : Toutes les techniques d'empreintes. Elasticit&eacute; de m&eacute;moire &eacute;lastique pour une reproduction pr&eacute;cise des d&eacute;tails les plus fins / Mouillabilit&eacute; et stabilit&eacute; dimensionnelle / Les mod&egrave;les peuvent &ecirc;tre coul&eacute;s jusqu'&agrave; 7 &agrave; 10 jours apr&egrave;s la prise / Temps de prise en bouche adaptable de 2 &agrave; min 20 s.,4986,882-7358,882-7358, ,20, , 
https://www.henryschein.fr/fr-fr/corporate/p/materiaux-a-empreintes/silicones-par-condensation/speedex-putty-soft-1x910-ml-coltene/897-4377?promocode=7&FullPageMode=true,COLTENE GROUP,897-4377,Speedex Putty Soft 1x910 ml/ COLTENE,"Speedex&reg; est un mat&eacute;riau pour empreinte bicomposant
&agrave; base de polysiloxanes r&eacute;ticulant par condensation.
Speedex est destin&eacute; &agrave; l&rsquo;enregistrement de la situation
physique dans la bouche du patient (&laquo;&amp;nbsp;mat&eacute;riau pour empreinte dentaire&amp;nbsp;&raquo;) &agrave; des fins de r&eacute;paration/ de remodelage
ou de remplacement de ses dents.",60023572,897-4377,897-4377, ,20, , 
https://www.henryschein.fr/fr-fr/corporate/p/materiaux-a-empreintes/silicones-par-condensation/speedex-coltene-putty-pot-de-910ml/889-0016?promocode=6&FullPageMode=true,COLTENE,889-0016,Speedex COLTENE - Putty - Pot de 910ml,silicone par condensation.Indications : Toutes les techniques d'empreintes. Elasticit&eacute; de m&eacute;moire &eacute;lastique pour une reproduction pr&eacute;cise des d&eacute;tails les plus fins / Mouillabilit&eacute; et stabilit&eacute; dimensionnelle / Les mod&egrave;les peuvent &ecirc;tre coul&eacute;s jusqu'&agrave; 7 &agrave; 10 jours apr&egrave;s la prise / Temps de prise en bouche adaptable de 2 &agrave; min 20 s.,4970,889-0016,889-0016, ,20, , 
