url,marque,id_variante,designation,reference,descriptif,prix_promo_unit,ref_price_unit,qty_dgrsf_1,qty_dgrsf_2,prix_prom_dgrsf_1,prix_prom_dgrsf_2
https://www.megadental.fr/bavoirs-54x58cm-blanc-rouleau-de-80-de-979-3816.html,dental-excellence,39964,Bavoirs 54x58cm Blanc Rouleau De 80 (DE),5038-191,,7.95,15.9,1,3,15.9,7.95
https://www.megadental.fr/bistouri-thermocutter-950-7622.html,drexco,16675,BISTOURI THERMOCUTTER,9844-172,Pour la cautérisation et l'hémostase en chirurgieAvantages :• Permet de couper les cônes de Gutta et les plastiques• La température optimale de coupe est atteinte rapidement après l'enclenchement du bistouri• Peut fonctionner jusqu'à 60 mn en continu• Sans incandescence  le fonctionnement se fait par la chaleur• Excellente prise en main grâce à son design ergonomique.Caractéristiques techniques : • Conditionnement de vente : le thermocutter• Code article fournisseur : 55008,23.9,40.9,1,3,27.9,23.9
https://www.megadental.fr/bistouris-jetables-no22-razormed-988-3928.html,razormed,39378,Bistouris Jetables No22 (RAZORMED),5140-100,Bistouris stériles à usage unique.Avantages :• Vous pouvez manipuler le bistouri avec précision• Le bistouri jetable est monté avec une lame stérile  selon la dimension souhaitée• Usage unique• Incisions ultra-précises Caractéristiques Techniques :• Conditionnement de vente : boîte de 10• Fabriquées en acier carbone et en acier inoxydable• Manche en plastique ,3.2,6.2,1,3,3.95,3.2
https://www.megadental.fr/bistouris-jetables-no23-10-razormed-988-3929.html,razormed,29879,BISTOURIS JETABLES NO23 (10)   RAZORMED,5141-100,,3.2,6.2,1,3,3.95,3.2
https://www.megadental.fr/bite-trays-droits-boite-de-50-eco-cybertech-988-0000.html,cybertech,3250,BITE TRAYS DROITS BOITE DE 50 ECO    CYBERTECH,2222-100,Porte-empreintes à usage unique pour l'enregistrement de l'occlusion . DM Classe I Mandataire : DE HEALTCARE PRODUCTS,9.85,17.9,1,3,13.35,9.85
https://www.megadental.fr/boites-de-contention-assorties-20-dental-excellence-979-2714.html,dental-excellence,8602,BOITES DE CONTENTION ASSORTIES (20) (Dental excellence),4936-191,Ces boîtes de contention pas chères servent à ranger les gouttières dentaires. Avantages:• Elles sont assorties à raison de 5 couleurs différentes et 4 boîtes par couleur.• Rigides  solides et dotées de trous de ventilation  les boîtes de rangement pour gouttières proposées par Mega-dental bénéficient de l'excellence de DE Healthcare en terme de matériel dentaire.Caractéristiques techniques:• Contenance: assortiment de 20:    4 Boites Bleu      4 Boites Blanc      4 Boites Rose      4 Boites Vert    4 Boites Vert claire.• Dimensions externe: 7 7 x 7 7 x 2 5 cm• Dimensions interne: 7 3 x 6 3 x 2 cmDispositif médical de classe IIA.,21.9,22.95,1,3,22.95,21.9
https://www.megadental.fr/bonding-5ml-arkona-988-4704.html,arkona,33023,Bonding 5ml (ARKONA),6926-100,"Adhésif photo polymérisable compatible avec tous les composites. Adhère de façon durable à l'émail et à la dentine.Avantages :• Le système adhésif dentaire BOND sert au collage des restaurations en résine
composite aux tissus durs de la dent• Scellement des hiatus marginaux• Diminution
du retrait de polymérisation• Préparation des surfaces des travaux prothétiques
avant la cimentation avec de ciments en composite à double durcissementCaractéristiques Techniques :• Mélange des résines diméthacrylates (BisGMA  HEMA  BisEMA) avec de l’éthanol  catalyseurs  inhibiteurs  système photoinitiateur (CQ : DMAEMA). BOND est durci par polymérisation radicalaire lente  activée par la lumière visible de la gamme bleue (400-500 nm)• DM Classe IIA• Conditionnement : flacon de 4 ml",24,48,1,3,48,24
https://www.megadental.fr/bourre-pate-21mm-asst-952946-supremeendo-095-2946.html,supreme-endo,29723,BOURRE-PATE 21MM ASST 952946 SUPREMEENDO,4168-217,,8.6,10.9,1,3,9.6,8.6
https://www.megadental.fr/bourre-pate-21mm-f-952943-supremeendo-095-2943.html,supreme-endo,29692,BOURRE-PATE 21MM F 952943 SUPREMEENDO,4165-217,,8.6,10.9,1,3,9.6,8.6
https://www.megadental.fr/bourre-pate-21mm-g-952945-supremeendo-095-2945.html,supreme-endo,29725,BOURRE-PATE 21MM G 952945 SUPREMEENDO,4167-217,,8.6,10.9,1,3,9.6,8.6
https://www.megadental.fr/bourre-pate-21mm-m-952944-supremeendo-095-2944.html,supreme-endo,29726,BOURRE-PATE 21MM M 952944 SUPREMEENDO,4166-217,,8.6,10.9,1,3,9.6,8.6
https://www.megadental.fr/bourre-pate-21mm-xf-952942-supremeendo-095-2942.html,supreme-endo,29727,BOURRE-PATE 21MM XF 952942 SUPREMEENDO,4164-217,Bourre pâte avec ressort de sécurité.Avantages : • Haute résistance à la rupture e• Bonne absorption des mouvements d'impulsions. Caractéristiques techniques :• Conditionnement de vente : La boite de 4• Taille : 21 mm ,8.6,10.9,1,3,9.6,8.6
https://www.megadental.fr/bourre-pate-25mm-asst-952941-supremeendo-095-2941.html,supreme-endo,29728,BOURRE-PATE 25MM ASST 952941 SUPREMEENDO,4163-217,,8.6,10.9,1,3,9.6,8.6
https://www.megadental.fr/bourre-pate-25mm-f-952938-supremeendo-095-2938.html,supreme-endo,29716,BOURRE-PATE 25MM F 952938 SUPREMEENDO,4150-217,,8.6,10.9,1,3,9.6,8.6
https://www.megadental.fr/bourre-pate-25mm-g-952940-supremeendo-095-2940.html,supreme-endo,29715,BOURRE-PATE 25MM G 952940 SUPREMEENDO,4162-217,,8.6,10.9,1,3,9.6,8.6
https://www.megadental.fr/bourre-pate-25mm-m-952939-supremeendo-095-2939.html,supreme-endo,29730,BOURRE-PATE 25MM M 952939 SUPREMEENDO,4151-217,,8.6,10.9,1,3,9.6,8.6
https://www.megadental.fr/bourre-pate-25mm-xf-952937-supremeendo-095-2937.html,supreme-endo,29694,BOURRE-PATE 25MM XF 952937 SUPREMEENDO,4159-217,,8.6,10.9,1,3,9.6,8.6
https://www.megadental.fr/brosse-a-dent-jetable-avec-dentifrice-100-dental-excellence-979-6295.html,dental-excellence,28794,Brosse à dent jetable avec dentifrice (100) (Dental excellence),8417-191,MEGA DENTAL vous propose ces brosses à dents jetables à usage uniqueAvantage :• Imprégnées de dentifriceCaractéristiques techniques :• Conditionnement de vente : boîte de 100• Coloris : bleu  vert  rouge  jaune• Emballage individuel,11.4,19.5,1,3,13.4,11.4
https://www.megadental.fr/brosse-noire-centre-bois-55x1-rg1-la-cocarde-878-7599.html,la-cocarde,30814,BROSSE NOIRE CENTRE BOIS 55X1 RG(1)  LA COCARDE,9711-090,,2.5,3.5,1,3,3.5,2.5
https://www.megadental.fr/brossettes-naturel-50----stoddard-895-2000.html,stoddard,28525,BROSSETTES NATUREL (50)             STODDARD,4222-017,"Brossettes
à polir Junior Cup naturels CA.",34.15,36.3,1,3,36.3,34.15
https://www.megadental.fr/brunissoir-l2-xts-tnbbl2-hu-friedy-896-1357.html,hu-friedy,25493,Brunissoir L2 XTS  TNBBL2  (HU-FRIEDY),3579-018,,38.1,58.9,1,3,47,38.1
https://www.megadental.fr/calcium-hydroxide-2g-20-tips-dental-excellence-979-2275.html,dental-excellence,7658,CALCIUM-HYDROXIDE 2G + 20 TIPS (Dental excellence),4497-191,,17.95,38,1,3,22.9,17.95
https://www.megadental.fr/canules-bluejet-color-std-16mm-roses-10-steriblu-951-8680.html,steriblue,40492,Canules Bluejet-Color Std 16mm Roses (10) (STERIBLU),0802-173,,12.5,24.5,1,3,19.9,12.5
https://www.megadental.fr/canules-daspiration-cybertech-blanches-lot-de-100-900-2813.html,cybertech,6693,Canules d'aspiration CYBERTECH - Blanches - Lot de 100,4035-122,,2.45,2.65,1,3,2.65,2.45
https://www.megadental.fr/canules-surgical-blue-tip-boite-de-20-l13-5cm-o-16mm-adaptateur-dental-excellence-979-2631.html,dental-excellence,8449,Canules surgical blue tip boite de 20 L13.5cm ø 16mm + adaptateur (DENTAL EXCELLENCE),4853-191,  Canules d’aspiration chirurgicales.Avantage :• Embouts détachables • Stérilisable à 134°CCaractéristiques Techniques : • Conditionnement de vente : Boîte de 20 canules + 1 adaptateur • Dimensions canule : Long. 13 5 cm  ø 16 mm.• Dimensions embout : ø 2 5 mm.• Boîte de 20 canules + 1 adaptateur stérilisable à 134°C.,20.3,30.45,1,3,30.45,20.3
https://www.megadental.fr/chainette-metallique-porte-serviettes-cybertech-900-3473.html,cybertech,10780,Chainette métallique  porte-serviettes CYBERTECH,5695-122,Chaînette en inox avec pinces.Acier inoxydable.,5,5.4,1,3,5.4,5
https://www.megadental.fr/ciment-temporaire-sans-eugenol-cybertech-900-3665.html,cybertech,10956,Ciment temporaire sans eugenol CYBERTECH,5887-122,Ciment provisoire à base d’oxyde de zinc sans eugénol.Idéal pour le scellement des couronnes et bridges.Avantages :• Scellement• Très résistant• Conditionnement de vente :  1 tube de 40 g de base + 1 tube de 14 g de catalyseur• Code article fournisseur : D1MNKTS,13.9,19.9,1,3,15.9,13.9
https://www.megadental.fr/ciseaux-a-gencives-lagrange-dental-excellence-979-4319.html,dental-excellence,12080,CISEAUX A GENCIVES LAGRANGE (Dental excellence),6531-191,Instruments en acier inoxydables haute performance.Avantages :• Finition garantieCaractéristiques Techniques :• Conditionnement : la paire de ciseaux• Longueur : 11 5 cm• Mandataire : DE HP• Dispositif médical de classe I,19.9,29.8,1,3,29.8,19.9
https://www.megadental.fr/ciseaux-iris-courbe-115cm-150-002-silver-line-951-3696.html,silver-line,19962,"CISEAUX IRIS COURBE 11,5CM 150-002 SILVER LINE",5818-173,,43.13,64.2,1,3,57.5,43.13
https://www.megadental.fr/coffret-fuji-ii-lc-gc-880-3111.html,gc,9959,COFFRET FUJI II LC (GC),5333-002,Ciment verre ionomère renforcé à la résine à usage multiples.Pour restauration de classe III  classe V.Techniques sandwich  dents temporaires.Faux-moignons  fonds de cavité.Dispositif médical de classe IIA.Utilisation : se référer à la notice. 3 poudre de 15 g (A2  A3  B3) + 2 liquides de 6 8 ml.,274.95,299,1,3,289.95,274.95
https://www.megadental.fr/comcord-fibre-impregnee-de-composite-6cm-gn-01353-988-5997.html,arkona,31357,COMCORD FIBRE IMPREGNEE DE COMPOSITE 6CM GN-01353,7119-100,"Comcord  par sa composition à base de filaments en fibre de
verre  permet de créer des contentions linguales simplifiant l’application lors
d’un traitement orthodontique.Il peut être appliqué sur toutes les restaurations dentaires
nécessitant un renforcement  comme dans les cas :- De dents mobiles- D’espaces inter dentaires importants- De récession des gencives- D’atrophie de l’os alvéolaire

















 Avantages :• Contention orthodontique• Prêt à l'emploi • Facile d'utilisation Caractéristiques techniques :• Conditionnement de vente : la boite • Code article fournisseur : GN-01353Indications : • Le COMCORD est un composite de filaments • Permet de créer des contentions lors de traitement orthodontique • Produit prêt à l'emploi qui ne nécessite aucun traitement avant installation ",52.95,105.9,1,3,105.9,52.95
https://www.megadental.fr/compresse-non-sters-75x75-sterilux1000hartman-882-1683.html,hartmann,40374,"COMPRESSE NON STERS. 7,5X7,5 STERILUX(1000)HARTMAN",3805-004,"Compresses de gaze hydrophile avec pliage chirurgical à
bords rentrés Caractéristiques techniques:• 100% coton • Conditionnement de vente : sachet de 100• Conforme à la norme EN 14079• Dimensions disponibles : 7 5 x7 5 cm",32.95,42.25,1,3,37.5,32.95
https://www.megadental.fr/compresses-non-tissees-non-steriles-5x5cm-200-dental-excellence-979-2145.html,dental-excellence,7520,Compresses Non Tissées Non Stériles 5x5cm (200) (DENTAL EXCELLENCE),4367-191,"Ces compresses blanches non tissées non stériles sont ultra-aborbantes.



Caractéristiques techniques :• Conditionnement de vente : boîte de 200 sachets idéale pour votre cabinet dentaire
• Non stériles
• 12 plis
• Dimensions : sachets de 5 x 5 cm ",2,4.4,1,3,3.15,2
https://www.megadental.fr/compresses-tissees-cybertech-5x5-cm-12-plis-boite-de-100-900-2721.html,cybertech,8616,Compresses tissées CYBERTECH - 5x5 cm 12 Plis - Boîte de 100,4943-122,"Ces compresses blanches tissées en pur coton non stériles sont ultra-aborbantes.



Caractéristiques techniques :
• Conditionnement de vente : boîte de 100 sachets idéale pour votre cabinet dentaire
• Non stériles
• 12 plis
• Dimensions : sachets de 5 x 5 cm ",1.95,2.05,1,3,2.05,1.95
https://www.megadental.fr/condac-porcelain-10--seringue-de-2g---fgm-988-6432.html,fgm,15243,CONDAC PORCELAIN 10% SERINGUE DE 2G            FGM,8654-100,Condac Porcelain est un gel à faible viscosité comportant de l'acide fluorhydrique à 10 % pour le mordançage de porcelaine.Avantages:• Bonne affinité avec l'eau • Sa couleur facilite son identification lors de l'applicationCaractéristiques techniques:• Conditionnement de vente : seringue de 2 g• Code article fournisseur : 2181,15.08,30.15,1,3,30.15,15.08
https://www.megadental.fr/contre-angle-led-bleu-cx235-mmcx-959-0015.html,megamaster-by-coxo,27767,CONTRE-ANGLES LED (MMCX),2237-171,"Le contre-angle bleu CX235 :Caractéristiques techniques:• Transmission  1:1
• Vitesse maximale de 25000 tr/min• Lumière (dynamo)
• Tête standard
• Thermodésinfectable et stérilisable 
• Système de serrage par le bouton poussoir • Garantie 1 an",169,759,1,3,185,169
https://www.megadental.fr/coupelles-rainurees-blanc-boite-de-100-euro-dentis-892-3312.html,euro-dentis,30810,COUPELLES RAINUREES BLANC BOITE DE 100 EURO-DENTIS,5534-014,,93.45,97.95,1,3,97.95,93.45
https://www.megadental.fr/coussin-thermique-monoart-euronda-950-1577.html,euronda,6235,Coussin Thermique Monoart (Euronda),3799-172,Cette poche de froid est conseillée pour atténuer les maux de dents. Il s'agit d'un coussin thermique à usage unique qui procure un effet durable au patient.Avantages :• Le sachet développe le refroidissement immédiat après avoir pressé une bulle située au milieu du sachet• Coussin à usage uniqueCaractéristiques Techniques• Dispositif médical de classe IIA• Utilisation : se référer à la notice• Format 15 x 19 cm,1.25,2.15,1,3,1.95,1.25
https://www.megadental.fr/cupule-a-polir-lamelle-mandrin-blanc-de-979-6183.html,dental-excellence,38327,Cupule A Polir Lamelle Mandrin Blanc (DE),8305-191,Cupule de polissage pour le nettoyage et polissage des dents naturelles  avec ou sans amalgame.Avantages:• Sans latex • En lamelle • Idéal pour le nettoyage des tache causées par le café  thé  nicotine ...Caractéristiques techniques • Matériau: caoutchouc.,13,26,1,3,26,13
https://www.megadental.fr/cupules-a-polir-striees-mandrin-gris-de-979-6182.html,dental-excellence,38339,Cupules A Polir Striées Mandrin Gris (DE),8304-191,nettoyage et polissage des dents naturelles  avec ou sans amalgame. Avantages:• Idéale pour le nettoyage des tache causées par le café  thé  nicotine..• Sans latex • striées Caractéristiques techniques:• Conditionnement de vente: boite de 36.,13,26,1,3,26,13
https://www.megadental.fr/cyber-adhesif-alginate-900-2843.html,cybertech,6783,CYBER ADHÉSIF ALGINATE,4065-122,Adhésif pour porte-empreintes spécial alginate.Présentation de la marque Cybertech : Dispositif médical de classe I.Utilisation : se référer à la notice.,16.8,17.5,1,3,17.5,16.8
https://www.megadental.fr/cyber-alginate-chromatique-sachet-de-450g-cybertech-900-3247.html,cybertech,16790,Cyber Alginate Chromatique Sachet de 450g (CYBERTECH),5469-122,Alginate chromatique CyberTechAvantages :• Alginate chromatique  sans poussière• Prise rapide• Permet de réaliser environ 25 empreintesCaractéristiques : • Gout : vanille  menthe• Quantité : sachet de 450g• Couleur : bleu clair puis blanc• Temps de travail : 2 min environ• Temps de prise en bouche : 2 min,8.4,11.2,1,3,8.8,8.4
https://www.megadental.fr/cyber-alginate-fruit-sachet-de-450g-cybertech-900-2829.html,cybertech,6712,Cyber Alginate Fruit CYBERTECH - Sachet de 450g,4041-122,Ce sachet de 450g d'alginate au goût fruité permet de réaliser 25 empreintes dentaires primaires. On garnit d'alginate un porte-empreintes et après un temps de travail de 90s  la prise est tout aussi rapide  ce qui assure un processus plus confortable pour le patient. Avantages :• Prise rapide• Confort pour le patientCaractéristiques Techniques :• Gout : fruit• Couleur: orange• Temps de travail : 90 s• Temps de prise en bouche : 90 s• Quantité : sachet de 450 g = 25 empreintes• Alginate de classe B type 1 pour empreintes,7.9,10.95,1,3,8.95,7.9
https://www.megadental.fr/cyber-alginate-ortho-extra-rapide-cybertech-sachet-de-500g-900-3879.html,cybertech,8887,Cyber Alginate Ortho extra-rapide CYBERTECH - Sachet de 500g,5091-122,Pour le moulage d'empreintes dentaires  l'alginate spécial orthodontie est un matériau précis à prise très rapide qui ne nécessite que 25 secondes de prise en bouche. Notre alginate Cybertech en sachet de 500g est de couleur turquoise et parfumé à la menthe  assurant un meilleur confort au patient. Avantages:• Haute précision• Extrêmement rapide : prise en bouche 25 secondes  temps de travail total : 40 secondes• Reste stable pendant 48 heures dans un milieu hermétiqueCaractéristiques techniques :• Couleur : bleu turquoise• Parfum : menthe• Alginate spécial orthodontie de classe B type 1,6.45,10.9,1,3,6.9,6.45
https://www.megadental.fr/cyber-pointes-gutta-no45-120---cybertech-900-2867.html,cybertech,28545,CYBER POINTES GUTTA NO45 (120)           CYBERTECH,4089-122,,12,13.2,1,3,13.2,12
https://www.megadental.fr/cyber-pointes-gutta-no50-120---cybertech-900-2868.html,cybertech,28546,CYBER POINTES GUTTA NO50 (120)           CYBERTECH,4080-122,,12,13.2,1,3,13.2,12
https://www.megadental.fr/cybercore-build-up-1smart-mix5-emb-cyber-900-6208.html,cybertech,14916,CYBERCORE BUILD UP 1SMART MIX+5 EMB CYBER,8420-122,"Composite
dual pour la reconstitution des moignons.Avantages • La polymérisation duale• Le système de seringue d’auto mélange• Le faible taux de rétraction• Haute résistant à la compressionCaractéristiques Techniques :• Seringue automix 5 ml + 5 embouts mélangeurs + 5 embouts intra-oraux• DM Classe IIA• Organisme notifié : 0473",26.45,52.9,1,3,52.9,26.45
https://www.megadental.fr/cyberpad-polypad-polyethylene-7-5x7-5cm-x100-cyber-988-3872.html,cybertech,28850,CYBERPAD POLYPAD POLYETHYLENE 7.5X7.5CM X100 CYBER,5094-100,Bloc de 100 feuilles en papier blanc pour mélange.Semelle antidérapante.Présentation de la marque Cybertech : ,5.5,5.7,1,3,5.7,5.5
https://www.megadental.fr/cybersilicone-bite-cybertech-4-x-50-ml-900-2824.html,cybertech,6752,CyberSilicone Bite CYBERTECH - 4 x 50 ml,4046-122,Ce silicone à prise rapide est plus particulièrement adapté au moulage de l'occlusion dentaire  autrement dit la façon dont les dents supérieures et inférieures s'imbriquent  en vue d'une éventuelle correction par traitement orthodontique d'une malocclusion.Avantages :• Silicone pour l’enregistrement de l’occlusion composé de 4 cartouches de 50 ml• Application facile et rapide• Dureté finale : dureté shore 95Caractéristiques Techniques :• Prise : rapide • Temps de travail : 30 secondes.• Temps de prise : 90 secondes (temps de travail inclus)• Dispositif médical de classe I,35.5,86.9,1,3,42.9,35.5
https://www.megadental.fr/depose-couronne-hu-friedy-902-0836.html,hu-friedy,2612,DÉPOSE-COURONNE (HU-FRIEDY),2058-124,Dépose-couronne pour dents antérieures  constitué d’une encoche lui évitant de glisser.,63.75,102.1,1,3,85,63.75
https://www.megadental.fr/digues-sans-latex-15x15cm-30--dental-excellence-979-2146.html,dental-excellence,7521,DIGUES SANS LATEX  15X15CM  (30)     (Dental excellence),4368-191,Digue sans latex naturel sans poudre  parfum menthe  couleur verte.Dimension 15 x 15 cm.La boite de 30 digues,21.75,29,1,3,24.9,21.75
https://www.megadental.fr/ef-braces-evolution-appareillage-fixe-951-3515.html,hahnenkratt,10828,EF BRACES EVOLUTION APPAREILLAGE FIXE,5737-173,Dispositif à porter en combinaison avec des appareillages fixes.Il peut-être porté par les enfants et les adultes en denture mixte et/ou permanente.Avantages :• Couloir de positionnement des brackets• Dégagement distal pour utilisation de tubes molaires vestibulaires et de dispositifs linguaux• Rampe à langue progressive• Protège muqueuseCaractéristiques techniques :• Conditionnement de vente : l'unité • Port avant ou pendant le traitement d'orthodontie fixe• Idéal pour les phases de démarrage de l'alignement dentaire• Peut-être porté en denture mixte et/ou permanente chez l'enfant et l'adulte,41.05,44.5,1,3,44.5,41.05
https://www.megadental.fr/embout-melangeur-bleu-clair-41-x50-dental-excellence-979-8386.html,dental-excellence,707,Embout Mélangeur Bleu Clair 4:1 x50 (Dental excellence),0508-191,Embout Mélangeur.Caractéristiques Techniques :• Le sachet de 50 embouts• Couleur : bleu clair,35.4,41,1,3,41,35.4
https://www.megadental.fr/embouts-melangeurs-marron-pointus-20-dental-excellence-979-6586.html,dental-excellence,33521,Embouts mélangeurs marron pointus (20)  (Dental excellence),8708-191,,19.5,20.9,1,3,20.9,19.5
https://www.megadental.fr/embouts-pour-seringue-aireau-clair-boite-de-250-dental-excellence-979-5385.html,dental-excellence,28781,Embouts pour seringue air/eau clair boite de 250 (DENTAL EXCELLENCE),7507-191,Embouts usage unique courbés et transparents pour seringues air/eau.Avantages :• Courbé• Transparents Caractéristiques techniques : • Conditionnement de vente :  La boite de 250• Dimensions :     - Longueur : 76 mm      - Diamètre 3.8 mm ,28,56,1,3,56,28
https://www.megadental.fr/endo-cold-spray-menthe-dental-excellence-979-1027.html,dental-excellence,5284,ENDO COLD SPRAY MENTHE (Dental excellence),3249-191,,3.9,7.9,1,3,4.45,3.9
https://www.megadental.fr/essuie-mains-enchevetres-blanc-2-plis-34x21-6cm-le-colis-de-2862-dental-excellence-979-3072.html,dental-excellence,9908,Essuie mains enchevêtrés blanc 2 plis 34x21.6cm le colis de 2862 (DENTAL EXCELLENCE),5294-191,"Essuie-mains enchevêtrés en pure ouate de cellulose  double épaisseur  2
plis. Ultra- absorbants et résistants. Très haute qualité.Convient à la plupart des distributeurs. Essuie-mains blancs de 34 X 21 6 cm.
Colis de 2862 soit 27 paquets de 106.",29.85,59.7,1,3,59.7,29.85
https://www.megadental.fr/essuie-mains-z-recycle-bleu-23x25cm-le-colis-de-5000-dental-excellence-979-3149.html,dental-excellence,10045,Essuie-mains Z recyclé bleu 23x25cm le colis de 5000 (DENTAL EXCELLENCE),5361-191,"Essuie-mains
bleus pliés en Z. 1
pli. Avantages :• Très haute qualité • Très résistants• Absorption idéale• Double épaisseurCaractéristiques techniques :• Conditionnement de vente : Le
colis de 5000 soit 20 paquets de 250.• Dimensions : 23x25 cm • Code article fournisseur : 9793149",45.5,49.9,1,3,49.9,45.5
https://www.megadental.fr/etchgel-embouts-intra-oraux-100-9793932-dental-excellence-979-3932.html,dental-excellence,19885,ETCHGEL EMBOUTS INTRA-ORAUX (100) 9793932   (Dental excellence),5154-191, Pour le mordançage de l'émail et de la dentine  l'etching gel nécessite des embouts intra-oraux  retrouvez-en 5  accompagnés d'une seringue jumbo de 60 grammes  de gel  dans ce package fabriqué par DE Healthcare Product et proposé par Megadental à prix mini  voire même encore moins cher si vous en commandez deux ! Nouvelle présentation de l 'Etching gel 40 % en seringue jumbo de 60 g.Permet de transférer le gel dans de petites seringues de 3cc.La boîte intro contient : 1 seringue jumbo 60 gr  5 seringues vide de 3 cc  et accessoires. ,20.5,22.9,1,3,22.9,20.5
